Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square600/480571504.webp?k=5dbe7c06ac8da7ef88fe327ff337a1302d7851764cd3bcc0d9c3fadb433c22a0&o=,Bajnok Property,https://www.booking.com/hotel/hu/bajnok-property.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1049661201_377219888_2_0_0&highlighted_blocks=1049661201_377219888_2_0_0&matching_block_id=1049661201_377219888_2_0_0&sr_pri_blocks=1049661201_377219888_2_0_0__8801&from_sustainable_property_sr=1&from=searchresults&map=1,"06. Terézváros, Budapest","1,7 km du centre","9,7",Exceptionnel ,Hébergement géré par un particulier,,3 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 126€ 88
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square600/500525487.webp?k=672bbc387536171ff77c97524c8c267a8f2640440a1930f509025b560378bdfb&o=,Central Buda cosy arty flat,https://www.booking.com/hotel/hu/central-buda-cosy-arty-flat.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1094838201_382390725_3_0_0&highlighted_blocks=1094838201_382390725_3_0_0&matching_block_id=1094838201_382390725_3_0_0&sr_pri_blocks=1094838201_382390725_3_0_0__13127&from=searchresults&map=1,"01. Budavár, Budapest","2,3 km du centre",,,"4 lits (1 lit simple, 2 lits doubles, 1 canapé-lit)",,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"4 lits (1 lit simple, 2 lits doubles, 1 canapé-lit)",€ 131
Appartement 2 Chambres,https://cf2.bstatic.com/xdata/images/hotel/square600/465778879.webp?k=4dc74c5f8d0b04badf103848c0121a94dec7f4d91f4bbdaf973424ee7dd476ec&o=,Budapest Central Vintage Apartment,https://www.booking.com/hotel/hu/budapest-central-vintage-apartment.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1018809601_374332564_4_0_0&highlighted_blocks=1018809601_374332564_4_0_0&matching_block_id=1018809601_374332564_4_0_0&sr_pri_blocks=1018809601_374332564_4_0_0__13245&from=searchresults&map=1,"09. Ferencváros, Budapest","1,6 km du centre","9,2",Fabuleux  ,Hébergement géré par un particulier,,29 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 très grand lit double, 1 grand lit double)",€ 132
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square600/444779434.webp?k=91e6625daa9d1026fd2779ee5ea1d9ab304beca48f57f89b22a56be4c76eb602&o=,Cosy Art flat in downtown,https://www.booking.com/hotel/hu/cosy-art-flat-in-downtown.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=943948401_366553327_1_0_0&highlighted_blocks=943948401_366553327_1_0_0&matching_block_id=943948401_366553327_1_0_0&sr_pri_blocks=943948401_366553327_1_0_0__13830&from=searchresults&map=1,"01. Budavár, Budapest","2,3 km du centre","8,2",Très bien ,"4 lits (2 lits simples, 1 canapé-lit, 1 grand lit double)",,12 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","4 lits (2 lits simples, 1 canapé-lit, 1 grand lit double)",€ 138
Appartement,https://cf2.bstatic.com/xdata/images/hotel/square600/499768945.webp?k=13f414d4800d6340b5ec345fadfaff8e67a28b9c033514addab0e340c7e6821b&o=,Judit Apartman,https://www.booking.com/hotel/hu/judit-apartman-budapest2.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1093172601_382834120_4_0_0&highlighted_blocks=1093172601_382834120_4_0_0&matching_block_id=1093172601_382834120_4_0_0&sr_pri_blocks=1093172601_382834120_4_0_0__8824&from=searchresults&map=1,"11. Újbuda, Budapest","1,6 km du centre",,,Hébergement géré par un particulier,,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,"2 lits (1 très grand lit double, 1 canapé-lit)",€ 88
Lit dans un Dortoir de 10 Lits avec Salle de Bains Privative,https://cf2.bstatic.com/xdata/images/hotel/square600/68102917.webp?k=fefc8a198942ca70e848f50ec5bf691195e4603175d3e8cd489ad4a9a28dae4e&o=,Adagio Hostel Basilica,https://www.booking.com/hotel/hu/adagio-hostel-2-0-bazilika.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=70548006_374396870_1_0_0&highlighted_blocks=70548006_374396870_1_0_0&matching_block_id=70548006_374396870_1_0_0&sr_pri_blocks=70548006_374396870_1_0_0__2076&from_sustainable_property_sr=1&from=searchresults&map=1,"06. Terézváros, Budapest",300 m du centre,"8,1",Très bien ,1 lit superposé,Plus que 2 lits à ce prix sur notre site,1 021 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 21
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square600/421922919.webp?k=0164ab5f866309f886a20ba012be0c7741befbd4185ee8ce382f024a0eb7fae3&o=,Lovely cosy art flat,https://www.booking.com/hotel/hu/lovely-cosy-art-flat-budapest.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=950995801_382154593_1_0_0&highlighted_blocks=950995801_382154593_1_0_0&matching_block_id=950995801_382154593_1_0_0&sr_pri_blocks=950995801_382154593_1_0_0__13830&from=searchresults&map=1,"12. Hegyvidék, Budapest","2,7 km du centre","7,8",Bien  ,"3 lits (2 canapés-lits, 1 grand lit double)",,4 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","3 lits (2 canapés-lits, 1 grand lit double)",€ 138
Lit dans Dortoir Mixte de 12 Lits,https://cf2.bstatic.com/xdata/images/hotel/square600/33547697.webp?k=26e7bf03f85b952b4457d1266e7b2d65b294c25ce277509d8ff1964a76513014&o=,Avenue Hostel,https://www.booking.com/hotel/hu/avenue-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=109779504_94822155_1_1_0&highlighted_blocks=109779504_94822155_1_1_0&matching_block_id=109779504_94822155_1_1_0&sr_pri_blocks=109779504_94822155_1_1_0__2593&from_sustainable_property_sr=1&from=searchresults&map=1,"06. Terézváros, Budapest","1,1 km du centre","8,1",Très bien ,1 lit superposé,Plus que 3 lits à ce prix sur notre site,9 751 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 32€ 26
Chambre Double ou Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square600/265773190.webp?k=24a1920218d8f2beec88576a74e0e32d0ffe17b9e390b2c7a339010f4ce3150d&o=,City Hotel Budapest,https://www.booking.com/hotel/hu/star-inn-budapest-centrum.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=18522501_341736044_0_2_0&highlighted_blocks=18522501_341736044_0_2_0&matching_block_id=18522501_341736044_0_2_0&sr_pri_blocks=18522501_341736044_0_2_0__8824&from_sustainable_property_sr=1&from=searchresults&map=1,"06. Terézváros, Budapest",1 km du centre,"8,0",Très bien ,Types de lits : 1 lit double ou 2 lits simples,Plus que 5 hébergements à ce prix sur notre site,3 899 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 88
Chambre Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square600/159139656.webp?k=426bc263484a8bdcdf6973c048695e2e6e1d45836e02f2e7d598688ea56cc993&o=,Easy Star Hotel,https://www.booking.com/hotel/hu/central-dominik-pension.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=7520812_265570371_1_1_0&highlighted_blocks=7520812_265570371_1_1_0&matching_block_id=7520812_265570371_1_1_0&sr_pri_blocks=7520812_265570371_1_1_0__6052&from_sustainable_property_sr=1&from=searchresults&map=1,"06. Terézváros, Budapest","1,6 km du centre","6,4",Note ,2 lits simples,Plus que 2 hébergements à ce prix sur notre site,4 821 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 74€ 61
Appartement Deluxe,https://cf2.bstatic.com/xdata/images/hotel/square600/308578517.webp?k=ca93d5a8ab240c935c3f225a10e9cd54793c73bc8b3f5d039e4c5390dab98fbb&o=,"A13- Boutique Apartments, Best Location, by BQA",https://www.booking.com/hotel/hu/a13-boutique-apartments-best-location-by-bqa.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=752753820_343780715_2_0_0&highlighted_blocks=752753820_343780715_2_0_0&matching_block_id=752753820_343780715_2_0_0&sr_pri_blocks=752753820_343780715_2_0_0__9400&from=searchresults&map=1,"07. Erzsébetváros, Budapest","0,9 km du centre","8,4",Très bien ,Hébergement géré par un particulier,Plus que 3 à ce prix sur notre site,1 151 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 94
 Lit dans Dortoir Mixte de 8 Lits avec Salle de Bains Privative ,https://cf2.bstatic.com/xdata/images/hotel/square600/98404871.webp?k=43e27c72d1555eb483436df84c9a78e74e340d89ca90297c05b7fc0607c0bbaa&o=,Flow Spaces,https://www.booking.com/hotel/hu/flow-hostel-budapest.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=201626710_94590221_0_0_0&highlighted_blocks=201626710_94590221_0_0_0&matching_block_id=201626710_94590221_0_0_0&sr_pri_blocks=201626710_94590221_0_0_0__1525&from_sustainable_property_sr=1&from=searchresults&map=1,"09. Ferencváros, Budapest","1,2 km du centre","8,5",Très bien ,1 lit superposé,,4 657 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 18€ 15
Lit Simple dans Dortoir de 10 Lits,https://cf2.bstatic.com/xdata/images/hotel/square600/264617328.webp?k=5d9b4faae4316f396d3d663921829cf002fa947d398fd989248a1eca52707c04&o=,NETIZEN Budapest Centre,https://www.booking.com/hotel/hu/netizen-budapest-centre.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=582694601_377099842_1_2_0&highlighted_blocks=582694601_377099842_1_2_0&matching_block_id=582694601_377099842_1_2_0&sr_pri_blocks=582694601_377099842_1_2_0__1869&from=searchresults&map=1,"07. Erzsébetváros, Budapest","1,2 km du centre","8,7",Superbe ,1 lit superposé,,7 367 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Lit en dortoir,€ 19
Chambre Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square600/328270670.webp?k=81ab16c8884173d6f79842ce8fcdfa099e485eb6e214b9e45498582703afc4f6&o=,NH Budapest City,https://www.booking.com/hotel/hu/nhbudapest.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=7512404_144267417_0_2_0&highlighted_blocks=7512404_144267417_0_2_0&matching_block_id=7512404_144267417_0_2_0&sr_pri_blocks=7512404_144267417_0_2_0__12245&from_sustainable_property_sr=1&from=searchresults&map=1,"13. Angyalföld, Budapest","1,7 km du centre","8,2",Très bien ,Types de lits : 1 lit double ou 2 lits simples,,2 727 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 122
Appartement 1 Chambre,https://cf2.bstatic.com/xdata/images/hotel/square600/497291984.webp?k=32092ab2c3fca668cd6678e19ff906d8f6ab7e45cfa27d39f006ae5c5c6f04f5&o=,Maláta Homes,https://www.booking.com/hotel/hu/malata-homes.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1080224301_380712653_1_0_0&highlighted_blocks=1080224301_380712653_1_0_0&matching_block_id=1080224301_380712653_1_0_0&sr_pri_blocks=1080224301_380712653_1_0_0__5708&from_sustainable_property_sr=1&from=searchresults&map=1,"10. Kőbánya, Budapest","6,5 km du centre",10,Exceptionnel ,Hébergement géré par un particulier,Plus que 1 à ce prix sur notre site,2 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 lit simple, 1 grand lit double)",€ 57
Chambre Lit Queen-Size Deluxe,https://cf2.bstatic.com/xdata/images/hotel/square600/336781444.webp?k=927d5068a1565fefd985abe0223c19fe8822ad564957b7652bda66232a44983e&o=,Váralja Home,https://www.booking.com/hotel/hu/varalja-home.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=806960901_342301013_2_0_0&highlighted_blocks=806960901_342301013_2_0_0&matching_block_id=806960901_342301013_2_0_0&sr_pri_blocks=806960901_342301013_2_0_0__7140&from_sustainable_property_sr=1&from=searchresults&map=1,"01. Budavár, Budapest","1,6 km du centre","9,1",Fabuleux  ,Hébergement géré par un particulier,Plus que 6 hébergements à ce prix sur notre site,1 175 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 71
Studio Supérieur,https://cf2.bstatic.com/xdata/images/hotel/square600/106326414.webp?k=96aea65f4bd05b75c9e5f0862369e046368808a0468ddd639ab569830d86ef58&o=,Vagabond Corvin,https://www.booking.com/hotel/hu/vagabond-apartments-amp-suites.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=206390101_374392192_1_0_0&highlighted_blocks=206390101_374392192_1_0_0&matching_block_id=206390101_374392192_1_0_0&sr_pri_blocks=206390101_374392192_1_0_0__10269&from_sustainable_property_sr=1&from=searchresults&map=1,"08. Józsefváros, Budapest","1,7 km du centre","8,5",Très bien ,1 grand lit double,Plus que 1 à ce prix sur notre site,3 607 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Studio entier • 1 salle de bains • 1 cuisine • 36m²,€ 121€ 103
Chambre Double,https://cf2.bstatic.com/xdata/images/hotel/square600/243980923.webp?k=abbfc2f0f0e4d1d8c2aa470a0162f8c995c609253d70b3bc3880cb9be7647eb8&o=,Danubius Hotel Hungaria City Center,https://www.booking.com/hotel/hu/grandhotel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=7501502_93706167_0_2_0&highlighted_blocks=7501502_93706167_0_2_0&matching_block_id=7501502_93706167_0_2_0&sr_pri_blocks=7501502_93706167_0_2_0__5950&from_sustainable_property_sr=1&from=searchresults&map=1,"07. Erzsébetváros, Budapest","1,7 km du centre","7,5",Bien  ,1 grand lit double,Plus que 3 hébergements à ce prix sur notre site,4 317 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 70€ 60
Chambre Double ou Lits Jumeaux Standard,https://cf2.bstatic.com/xdata/images/hotel/square600/153554940.webp?k=a46d6fc2d5d675d2b2c73497a506e2f70dc188661a8ce92b00669aee62aa28ee&o=,Hotel Regnum Residence,https://www.booking.com/hotel/hu/regnum-residence.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=7861429_247606671_1_1_0&highlighted_blocks=7861429_247606671_1_1_0&matching_block_id=7861429_247606671_1_1_0&sr_pri_blocks=7861429_247606671_1_1_0__10920&from=searchresults&map=1,"02. Rózsadomb, Budapest","2,1 km du centre","7,8",Bien  ,Plusieurs types de lits,Plus que 2 hébergements à ce prix sur notre site,1 635 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 136€ 109
Appartement 2 Chambres,https://cf2.bstatic.com/xdata/images/hotel/square600/470853208.webp?k=63da0c96d188836929dad765b0b801914ba15b8af4505625d4e23c8e70675527&o=,Budapest Walking Street,https://www.booking.com/hotel/hu/budapest-walking-street.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-850553&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=0a0346ddcf0800a0&srepoch=1698919486&all_sr_blocks=1029796701_375672925_4_0_0&highlighted_blocks=1029796701_375672925_4_0_0&matching_block_id=1029796701_375672925_4_0_0&sr_pri_blocks=1029796701_375672925_4_0_0__25145&from=searchresults&map=1,"05. Belváros - Lipótváros, Budapest",400 m du centre,,"Exceptionnel 9,8","4 lits (2 canapés-lits, 2 grands lits doubles)",,26 commentaires externes,Taxes et frais compris,"1 nuit, 1 adulte","4 lits (2 canapés-lits, 2 grands lits doubles)",€ 251
