Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/486919765.webp?k=4f904bbe9aac15ff4b91ca710552e923b3db76c0ef3b2318d824224533204558&o=,Ethnos Relais Vaticano,https://www.booking.com/hotel/it/ethnos-relais-vaticano.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=1064925201_382304746_2_1_0&highlighted_blocks=1064925201_382304746_2_1_0&matching_block_id=1064925201_382304746_2_1_0&sr_pri_blocks=1064925201_382304746_2_1_0__9085&from_sustainable_property_sr=1&from=searchresults&map=1,"Aurelio, Rome","3,7 km du centre","8,5",Très bien ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,27 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 222€ 91
Chambre Double Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/348116755.webp?k=abc20e1e42f81f8a396a5f347791f23ffcfde5b2f4b32d286649a09e354de907&o=,Sonder Piazza Venezia,https://www.booking.com/hotel/it/sonder-piazza-venezia.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=834074205_348689009_2_0_0&highlighted_blocks=834074205_348689009_2_0_0&matching_block_id=834074205_348689009_2_0_0&sr_pri_blocks=834074205_348689009_2_0_0__31189&nad_id=d16ee1f9-5555-40c1-950c-87ab1a897aa6_2&nad_cpc=2.48&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IjZTNGRwdS9xTEd5bzVXcXkrbVJDUnRNZjlPNXAycHZ5ODUva3JtSEtUTXZBa0lFcm9iRmQrZUY3QTZSM2gxdUQxU3NkYXEvNGR0T0NZdEhOb21EZ3B1R3dBK0M0NU1EV0J2eFAxcjBYQjBpUGl1VXJUcHdkMnRDWisyNFdMdyticUU1TDNsYlRKUlQrbVhzUWQrQ0Yrcm0xeFhWTjc5dll2aStPa2Y4a0haU2lVL0hRaFZvRTgyWXY4MzZ3VmVtSG44aUFubHhXL2VkakpyU0JyTlNhRzBodG9Mclhzamt6a1NkWWhiT1JsWERtUkFlSjg0WkM4U0RPK0FOVlpadTYxUHFpVmVNT0RkdHcwZFIvRC9qdFpLd1ZKckZZcngreG5XZzlqN2tPQVByZVhyRVVVN0p4SWhCOEsxRkFibERvbURqenVrcVd4TEpQNTdvR1MyZHpVc2lRMkZhRFRXdkNRK1ZGUkk2c0paSm9DbXduQkNNM2gremxSaFQydFprQk9tN0R2VHBxYlh3c1d4Y1h6aVVqbGgxWW5FcDJqYUZYTjQ4WEdDYnFGYkoydHo5TFVaT2o2MGEwdGlxMjYrSXJPc1RPRXRmbFpocmhDd0REbUN0Sy9CWTg0cjBqNVBEdGZHbDVsanE4aDd1WGdyeVJ3dXo4b25jTkdpbzFidWtVV2pVaTVLTkhEOTVabmpzNnlOYVZhR2Q3NEp6Uy9wdjJkRFlzajg4MGRwcStPTm1qS29FWGwwbFRwangwVHFZZk93ZVB0OU04YWhHSWJNNURMcFVTUkxtN2dNaXQ5QXdSQTNrVUFuamFwSzNDeElNUFpXR3RLa0dEY3dhZWx1OGF0bFk4V0hqWWN1TExGRUJRb2daUURaL3NIV2YzWEFsYk9hQ0Q5NHFHLzlEbUZRTXQ4MTBoV1R3OUp6UjJzZVFzY3hyaFhEQTMyblNBUHFOcUoxUkhHNHpzeVhodlZKdHdtZG93Mys0b0JBQnR0WlE5cWVLVjBEUGNBVU9IblRSQ2JDNXZVVDArRE5pYjVYYnhpRGtYZTVRaGdKczhBN1VXam1vc0xXemxqeVhxZ0hoampRRmt2azNSWEEzREJKckdRRUlxcEo0N0VhVGErUkJjQWlTVTlEMHZ4UUw1eTJ2MDErYzF4QitpOWRmSmVoMXZqU05vcmxkZ3dSK2NWL2tyNitOUHQvMlJNUkNMVGZrQzVxNTB1K2NuY0tjRG1UNXcvRFRwWHE1eTNLV3dBeTlzbW9JSE1sYXJObVZ3UlpYQzhYdUUrc3o4RFFEN0xnYlBUTHd5bENVUWp3VEhHVDBiTFAwQXZPMnZPVDBUdDlOR1ZuYWdRTmZEQUlDNXQ0emVmdUQyQTVLbFNwRkhpTEdSNHJ2U2JkLzlnTmo1eElQSmY3eWFGUGY5aW4yTURJMG1PTFc4dzh3alR6QzVlUVNRRmZFaFVoeEVDdlRIRWh3MmZvbk5UU0NYb0E1SzRzS1BQeDgybFlpTXRNTHJ6TjVtV1c3R1VjaEF6ODVDS1l2a3ova1gwYkhSTFl2aFc1azI0VWM2RzFiZGRLZGtNZXZwMGQ0VVNpWFJ0SllVNGFnN3k4dk0xc3JEamg4dFE2VEJPdmthd1lkeENZU1VIZnBVU2dHSGJVdVI1dEJ6SkRKdmMxRWN6M2RPR3l1NkpKSHRGOGlvYmd2QWRUUHFuaGovamNQazh6REx4NW5YQmJnRDdlbjVBV1RKbTdNNGhXSEFJSWlBQkljc3ZHdzN1aHpQeUJpSVF0UlBWaU5zK2E4UkJidm9XbFoyWmpZYno4QlFVYWRRR2xLZnpRYnJHa0o3NDcveHROOTVkcktFVTliUVpLQzBNMnpoY0J1L1dNTHd4Z1lORUZId3hmZmp6SlVubXdxV3ZMSTFuOVg2OEsrMWVGaDQ0ZTZTZ3Y2ekhpZzB0dk5mSDNWWTQwcjUzVFBXK2JSa0Z6WEN1WS9oZ05YTnUwbWpHdHh0SERDd2ljc2Y2YjJKdTJ3MHRvcXQyeFN5YmVUVVJqMVk5L2k4SXpJQmVIdnlpdnlEekRvUjg5T3A2STFuQnZTN1ZvdjViS0d2M2s0b0I5Y3FXTEVBcHBFVTFTRGxFZURITldVMHd6b0cwd3JycnN1ZlhqZ25RNjlOWUtmbmxPYkIvdFBzYW5EcGZ0RjVlcy9vb1JWVWN5QXNmM1IyWkVDUjBWUFo2OGtNOUJZOTJKdVVtWkJNeDI2SDd6eWE1ZTJKb0owZE5HSGNsb2wxbmY3WHhNSEhYQ3E4NSt3VUhhejhsbm5wcU51UWdvUTFxc3Q2Y1gzNVcwT3VYS0kvS082MEtLWHdFUkNmSnhnR0x2c3psSXRpNVVvRm0rREhJVHkzbzRBVWlrVjFpVTFRTDNKcTl5TVhCc3lacjFYdUhnWWZuSzFGdkN4Z0hTYWlMZi9XNjRJNGRjSDJCajdnd2ZPMjNzM1JGMnFsYTdSdkFiaGRFUGxLcWg5VU5ISWIwUU1vREpkOTVRSHZ3TSs4QWFSZEl5UFQ0ZHg0S3VNaGJlUGxneFM5N1RzNUJYNUJib3pTcEZuRTVqOWREMElHRGlZcjN6cGxEOXAyazN4YndON1RtYmVIYnB0UG9sRFFtaGthTWhuV3Uvck1qQTd5UytLRHVPdXhiK0Zld2dqdFVYdWZNMkNBcUszdnZxRVdEYTBhQ2RaL3JST2JwemluNlBKbHE2bm9uK2Jlb2J6UVg0cE9weWVJZkdaVnJZckIyWnE3Si93dzJVQWpoUVN3Vnk0YXUveUJNbklGankrTFhiaU1KU0lhSVBFY3I2dUt5UkhtQkN5WXNBdzFwYzVsUlkyTFI3UmtwUjl6ZEJNTWFZQXdFSEtiTVFmTGxyTDg4U2xuY3NWRFJzN20xWER6ak5qNFBvUEt0MnJESVFYc2pBOWpxeGF0Yi9NcDVURU1iUnkvaHhmMjJrbnhHbFY1SWY1UldsYTBZSlpuUEdGMWZZdENhbHREMy9malpDU0RJMmg3ZXFIUWd3Ym5vMjBvVktWKzhaMEdxdSt4Mis5cHlyUFZsbmhWYUZnckE1WmZKUFBOSm15bjdqTUxVMlZkZCtEVmEyY1lGZXlpWjF6UytyZ2tRMnUwZ0UxNUkxVXg4S01DVEZqdGs4RXpFcEdxOEZlY1B4MUUxcmZXQVk3dmMrVlBDcTA1d3h3NkwwQzRnQnVsTkNmTHR0RiszK1hoU1NNK2tsNExNak8zQzBkaCtodjRaeFVFUkxaQWhoemJKa29iNTlZYlZ6dUhWZUpSS3BuaWRqNGk5QnF1bjZISWdkTjRXbzNjMXMrYUYvY2xtNVJNdUp1ODhoV1psVVFEdFlEZHpMQ1pUWU5Rcnc5UmJFWG45ZUxobGNMMXZSejFiZGNhV0JVNm41bVpwanRXS3MvZU9CWlJZWmgwQ1hzNW5RTXk3L0FHaGl2N2FVdG9PV0ZBYlcyQ0tCRW4ycEhRb05GWHNZbzh1UEFIb01hODBkYU4vcGZHREQzdWNSQzJRRTMwMEpESkd4aWtHRWJ6MUJhUEtFbGpCa2JpV2JDbTRodkJncHMxc0J3cTRJd2xkZTR4M2orektlSmplL0ZtMjYxZmhFb29UdkFFc3MvdlA4ZUpVVUE3YTBHS0JqQTFTQWtEanpvanBOeHY3VHJuNUQ3QjMvaUpFMkpDa0lhTkdnQy84WTdUdkg1WVcwT1JyWVNJbkVBd1JzL0JyNVhrb0h4RVpiZlhKeVJucEh0NVplejFYbW5tMTBOaWloU25SWUkxdHZwbEo0K3JneVNkWGI1RU13PT0ifQ%3D%3D&from=searchresults&map=1,"Panthéon, Rome",150 m du centre,"7,9",Bien  ,1 lit double,Plus que 1 hébergement à ce prix sur notre site,200 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 312
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/399102831.webp?k=2cd530e8df19770e1f511bbfe6ddf083a29c950387185e8b1afe0b7428103c07&o=,Hotel donna Francesca,https://www.booking.com/hotel/it/donna-francesca.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=870879401_355766362_1_1_0&highlighted_blocks=870879401_355766362_1_1_0&matching_block_id=870879401_355766362_1_1_0&sr_pri_blocks=870879401_355766362_1_1_0__13879&from_sustainable_property_sr=1&from=searchresults&map=1,"Gare de Termini, Rome","1,2 km du centre","9,2",Fabuleux  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,180 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 163€ 139
Petite Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/6689564.webp?k=fe78b012e32700a9d998a34f833db947cfb61a4ea2f0e68f216f27b838327f45&o=,Gambrinus Hotel,https://www.booking.com/hotel/it/gambrinushotel.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=8050407_362888087_0_2_0&highlighted_blocks=8050407_362888087_0_2_0&matching_block_id=8050407_362888087_0_2_0&sr_pri_blocks=8050407_362888087_0_2_0__13308&from=searchresults&map=1,"Via Veneto, Rome",2 km du centre,"8,0",Très bien ,1 lit double,Plus que 5 hébergements à ce prix sur notre site,678 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 237€ 133
Chambre Double ou Lits Jumeaux,https://cf.bstatic.com/xdata/images/hotel/square600/130522947.webp?k=53aeb17a05d4092a647e9342d361fb3615cc53f29a6a40ca73811e08ae442cf6&o=,Hotel Aventino,https://www.booking.com/hotel/it/aventino.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=28608001_366113650_1_1_0&highlighted_blocks=28608001_366113650_1_1_0&matching_block_id=28608001_366113650_1_1_0&sr_pri_blocks=28608001_366113650_1_1_0__6700&from_sustainable_property_sr=1&from=searchresults&map=1,"Aventino, Rome","1,4 km du centre","8,6",Superbe ,Types de lits : 1 lit double ou 2 lits simples,Plus que 1 hébergement à ce prix sur notre site,840 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 67
Chambre Double Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/408073415.webp?k=4d13a1884ab9e1d6169bf9d4400905855dbe88d91369924c1f53c231466ff19b&o=,Quintus Luxury Suites,https://www.booking.com/hotel/it/quintus-horatius-luxury-suites.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=921545801_363824770_1_0_0&highlighted_blocks=921545801_363824770_1_0_0&matching_block_id=921545801_363824770_1_0_0&sr_pri_blocks=921545801_363824770_1_0_0__13030&from=searchresults&map=1,"Vaticano Prati, Rome","1,9 km du centre","8,8",Superbe ,1 très grand lit double,Plus que 2 hébergements à ce prix sur notre site,278 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 161€ 130
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/196007267.webp?k=784543f7bb3fb7e062ac9ab4aca39c5e6c10cdd21528914d9d5ecd31914a201b&o=,Cicero Rome Center,https://www.booking.com/hotel/it/cicero-rome-center.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=90529104_88473319_0_0_0&highlighted_blocks=90529104_88473319_0_0_0&matching_block_id=90529104_88473319_0_0_0&sr_pri_blocks=90529104_88473319_0_0_0__10868&from_sustainable_property_sr=1&from=searchresults&map=1,"Via Veneto, Rome","1,8 km du centre","8,1",Très bien ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,505 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 168€ 109
Chambre Lit King-Size Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/433350250.webp?k=06cdea666a079d41accc4bdfcbfe9825f916d5a85774d9245896b52d65e7b4ec&o=,Rome Marriott Park Hotel,https://www.booking.com/hotel/it/rome-park.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=1664914_246417338_0_2_0&highlighted_blocks=1664914_246417338_0_2_0&matching_block_id=1664914_246417338_0_2_0&sr_pri_blocks=1664914_246417338_0_2_0__13750&from_sustainable_property_sr=1&from=searchresults&map=1,"Magliana Vecchia, Rome","10,9 km du centre","7,5",Bien  ,1 très grand lit double,,2 100 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 138
Chambre Double ou Lits Jumeaux avec Salle de Bains Privative,https://cf.bstatic.com/xdata/images/hotel/square600/414125560.webp?k=89634d38a6c7d0e4e187889abc610bfce77bec6b83e2a1fddc60b2ff5d4311be&o=,Toffa Place In Rome,https://www.booking.com/hotel/it/beautiful-place-in-rome.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=31836002_91921355_0_0_0&highlighted_blocks=31836002_91921355_0_0_0&matching_block_id=31836002_91921355_0_0_0&sr_pri_blocks=31836002_91921355_0_0_0__8479&from=searchresults&map=1,"Gare de Termini, Rome","1,8 km du centre","7,0",Bien  ,Types de lits : 1 lit double ou 2 lits simples,Plus que 1 hébergement à ce prix sur notre site,1 353 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Types de lits : 1 lit double ou 2 lits simples,€ 111€ 85
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/501845454.webp?k=c5ec5e67f08896419f9e4308e33a6a86be9411e7db9e8ccf203cafa3fd9a9657&o=,Aurelius Sant'Angelo,https://www.booking.com/hotel/it/aurelius-sant-angelo.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=1097632901_382645333_1_0_0&highlighted_blocks=1097632901_382645333_1_0_0&matching_block_id=1097632901_382645333_1_0_0&sr_pri_blocks=1097632901_382645333_1_0_0__14660&from=searchresults&map=1,"Place Navone, Rome","1,3 km du centre",,,1 très grand lit double,Plus que 1 hébergement à ce prix sur notre site,"1 nuit, 1 adulte",Taxes et frais compris,Taxes et frais compris,1 très grand lit double,€ 147
Chambre Double Économique,https://cf.bstatic.com/xdata/images/hotel/square600/142259400.webp?k=fac5d1d320c0e1a0329ae1d7d9c0cf9020b3a1928aca26f25a9976c1099caea4&o=,Laterani Guest House,https://www.booking.com/hotel/it/laterani-guest-house.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=329930701_370218450_2_0_0&highlighted_blocks=329930701_370218450_2_0_0&matching_block_id=329930701_370218450_2_0_0&sr_pri_blocks=329930701_370218450_2_0_0__10500&from_sustainable_property_sr=1&from=searchresults&map=1,"San Giovanni, Rome","2,2 km du centre","8,5",Très bien ,1 lit double,Plus que 1 hébergement à ce prix sur notre site,591 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 147€ 105
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/415005869.webp?k=6d1ded720f2e8fad15aecab316f6d6f21d4fc3662857a8cd5e7e1ea955641e66&o=,Madison Hotel,https://www.booking.com/hotel/it/princemadison.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=8057806_88153624_0_2_0&highlighted_blocks=8057806_88153624_0_2_0&matching_block_id=8057806_88153624_0_2_0&sr_pri_blocks=8057806_88153624_0_2_0__9065&from=searchresults&map=1,"Gare de Termini, Rome","1,8 km du centre","7,3",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,3 231 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 91
Chambre Simple Économique,https://cf.bstatic.com/xdata/images/hotel/square600/81731620.webp?k=579080f6a8c94452df251782d887a3263ef7dd69fd1436aeca83c0089a4f982a&o=,Liliumhotel,https://www.booking.com/hotel/it/liliumhotelroma.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=8077508_88919782_0_0_0&highlighted_blocks=8077508_88919782_0_0_0&matching_block_id=8077508_88919782_0_0_0&sr_pri_blocks=8077508_88919782_0_0_0__10168&from_sustainable_property_sr=1&from=searchresults&map=1,"Via Veneto, Rome","1,8 km du centre","8,3",Très bien ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,901 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 111€ 102
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square600/199787573.webp?k=13aac32349703e05229b176c0e22e93c2daa986fcebd78fadb6ca47fe22bd212&o=,Ripetta Luxurious Suites,https://www.booking.com/hotel/it/ripetta-terrace-suites.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=257720308_234132883_1_0_0&highlighted_blocks=257720308_234132883_1_0_0&matching_block_id=257720308_234132883_1_0_0&sr_pri_blocks=257720308_234132883_1_0_0__14158&from=searchresults&map=1,"Place d'Espagne, Rome","1,5 km du centre","8,2",Très bien ,1 grand lit double,Plus que 3 hébergements à ce prix sur notre site,860 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 232€ 142
Chambre Simple Classique,https://cf.bstatic.com/xdata/images/hotel/square600/255727610.webp?k=8d368cb507ff36ee78b1811d9fb33c29526eb46022ebf641363c2fd93acd0841&o=,Best Western Hotel Artdeco,https://www.booking.com/hotel/it/artdeco.fr.html?label=rome-eJVxSXjZ2UysWd3gE*ZHlQS528728319054%3Apl%3Ata%3Ap18250%3Ap2%3Aac%3Aap%3Aneg%3Afi%3Atikwd-169271184%3Alp9056295%3Ali%3Adec%3Adm%3Appccp%3DUmFuZG9tSVYkc2RlIyh9YSNxgVPQVI7AMnn1KDvPMRs&aid=301664&ucfs=1&arphpl=1&checkin=2023-10-30&checkout=2023-10-31&dest_id=-126693&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=43005749b7a800db&srepoch=1698668697&all_sr_blocks=8798108_88440046_1_2_0&highlighted_blocks=8798108_88440046_1_2_0&matching_block_id=8798108_88440046_1_2_0&sr_pri_blocks=8798108_88440046_1_2_0__12650&from_sustainable_property_sr=1&from=searchresults&map=1,"Gare de Termini, Rome",2 km du centre,"7,9",Bien  ,1 lit simple,Plus que 1 hébergement à ce prix sur notre site,923 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 127
