Titre,image,Nom_Hotel,Lien,Ville,Emplacement,Note,Appreciation,Place,Comparatif,Nbr_Experiences,TCC,Type,Detail,Prix
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/420942641.webp?k=f154d769bfb127cc8936ffc8cab8fbf59945de77678441d307b55fcd72f3d939&o=,Dodona ApartHotel in Prishtina,https://www.booking.com/hotel/xk/dodona-aparthotel-in-prishtina.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=949073301_367575045_1_1_0&highlighted_blocks=949073301_367575045_1_1_0&matching_block_id=949073301_367575045_1_1_0&sr_pri_blocks=949073301_367575045_1_1_0__5000&from=searchresults&map=1,Pristina,300 m du centre,10,Exceptionnel ,"2 lits (1 canapé-lit, 1 grand lit double)",Plus que 7 à ce prix sur notre site,1 expérience vécue,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 50
Chambre Premium avec 2 Lits Jumeaux/Simples,https://cf.bstatic.com/xdata/images/hotel/square600/430821894.webp?k=2441ceb2f5d55864a2ea521ff4c1d78ec2da03d36df0f073b84deb19194fb8b8&o=,Four Points by Sheraton Prishtina City,https://www.booking.com/hotel/xk/four-points-by-sheraton-prishtina-city.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=652279304_268153790_2_2_0&highlighted_blocks=652279304_268153790_2_2_0&matching_block_id=652279304_268153790_2_2_0&sr_pri_blocks=652279304_268153790_2_2_0__14900&nad_id=d418aa67-9464-4971-af86-8c5d4343bb28_0&nad_cpc=0.45&nad_track=eyJyYW5rIjoxLCJrb2RkaVRyYWNraW5nSW5mbyI6IlVlOWxiUTRFbU5uK3p2UHo0VnQ0Y0w5b0FHckwvWGVqbXZ3ZTUyak1SdTE1aW9yLytKMUFGaG5vK0R4MXlQUlRVcUZtNllRdlorM1RCb2NUZFBvWGx6TndjUE9aeXJKNm9NOW9KRDFiditxVmdOajN1KzFzdTU2RG5hWE9lRW9IaS9MN1hsS2oxRUQzR3A2Z2VwRzRtM0pjQnBYQjJXQkNiSTd2a0VUSXJ2L2hNd2ErbGpyNmNMa3Y0Wjc5R0hxTG12K3h2aFgxbE5MSkhNeEFBdnpKTVZFNWtnRjdlRjZGN3NHcXNsZUNzcUJ5WGh5WGNIRXh1NEJ5bGhsa2w5L0dPK2ZLNXRtVTFXNEgycG1IdkZsUlRObkRWbmRjcmxLMktIRzNuSVRXUEg3UkVrSVV0T1piWVNJNTBhVDhxOUNLTDNhcndWQTkxZitoQTRtaGpVRzd2dDEweVBzMTBjTkw4QWhNOXlpMi96M2F4OGVLSWc3QjV0UU84aGN0VDJ2OGpYTStsaWV0VlNPMnYvYTE3ZEgrYldHY0VqL2RDZEpqNzhrbHVHbnNnSHBKTXltTmpWdUdwUHVaTW1ocDZ3SjZaanU2SFp3b055VmFTWDN5dkNIM1I5Tnp5YXY2NnExOUNnYWFMY1VWM1hSOUpzZDVuZzZkTEZZR0RHbDI3Q20xQjZ4d2szMlRQeEYyeFhsSjJnaEVQbTlLdTBTSHFBWml5MWtyK20ydElkVStnR05tSDg3UU80TXU4cVlrQk9KUkZMNmpsVlJISERNN1pkQ09Lb2poOFdTTUlTbHFVS21nUms5M3NhRHVhdTdleXcvNzBSWHZ1S0FmdGJtV3RZK1ZlMjVobU5aMFFxOWVleW12OWZ4M09XVGoyNGIwZVB5MjdIWkR3USthV3doSmtHWlZwYmlrTDk2bVZQaHdzZCs2RkdRRFQwNmNiUEF1LzVxVEl3NzBPVnJ0dVBOeUhBNlk2VDcwTDc5ekNHdDY5RnVYNFZNalZWeGFsN3VTdVBMa0ZGRXYvY1hVTC9XOU9rWVBaVE56MG5RR1Z2c01uNkFaM1hSV3IvVys2amFOOUh2Wm9rRGFkd2RFUGpXeHY0SUIwVjNnYnNKTHlSblgyTTI4YlFZTWtGenFpcVArcnhZMUlKSWNTamlnbVZJd3F1a01meEw2MHB5UDZHbndlM0FwRHpHVENFeWlpbGtBTTJQeEhzaEIzMTRKVDhJV1RQc2hER09yM0dISzF6VExWSmRSYVMwYkhVNUJFRlVOQmRNdDE1TldQYzlmNWRBa2dQdG5pYTZUVE5CeVI5MzNQcHNWTnZvNmtNTTBqZlNKbnBWcVNteXhlVzNELzIreFZ1aTB4emtTUFErRjFlbithQ1JGcHRoUHJuRkFuTnRubHMzYnh4ZlhZZm1sYzcyU1laV0ZWdWNyNmtCZmF6aVdtVzRVczZRM2NXcElQS1NxUUNOeGIvVEpkelRpUUpOZDc5RzFLVStkZit4YVUwQ1E0akhjejhhMU1tcUc5NS93UEt4RERBcXhJUjlaK1JuK2dPcTRLZ3ZLaFl5Mk9hajlZSUk3d3Y2Yi9LeHRpOVNPcGRHRFcreGUyTGhYeDNSbCtpekNvWXgxUFAyVXBicEdsMWRNUVJCNXBkSU9YYi9ud1ZSeVFvQUZ2cUczczBzUWtGOU81UTFUTldxZGlreFQ0T0VsWFE3YUFGZFVVdTVObjQxS050aUZOZkFOcFpRYUplU0FTc295M2c0cGRQQm5qU1lMeUVVcWdPaXdtWUt1dlRQU0hNM2JpT3hiRjFQYkt1MmJzV2RTMkl1K0c3cWJESU5MSHVwcFdiUnNtRDVnQy93cUV6am96cGFzdS9GUEZBdmYxQ08rUGtKdlhRdDlEWDYrREVYYUcxT3RrSG55a1ZUSmZZRGRXV3dMMVlmWXdFR1RyT3ZIazU0VjZmOFhad0E5Q3ZoRjQydGQ4Mlh6ZEJzL1RDamtBczY4V2w1SWpBMEdkdHptRU5maC80eWNNdW9kR09oWHUyc21mcDFoem5TK3FFMXFqc3dRMTVBbmU4bmQ4ZFlqZkU0bElrNWdxT1E5UUk1MlIrNFVETUh2TEFTRVV4RkRPd04rYW1jTzQ3WlhrVTFwNFJ6dXl6WCtlbzRPdVVOdWxnRWhFUFlaZkFZams5TDk1cit1RzdhSXJIcCtob1JjaVlDK2xVYTA1M29oRzBLcHJnQzFGdUgwVEM5VHo3WFJ6VmVPN0dkeitvdmhSRDBrS3hZb0F6MmJjcEdUdjV6bzlMZjYrNklxSXZaVXNYSmtuQlVZZTMydHNZYndIaUVkQ0ErN3ZMSkpXMzB6VDBaZWZBQkp3T3pGcHpDRlNGRXI3RjlrNytoR21SbHBOclR2TjFoTHd5OERHdlNhcWZpc0xIakdRbzh5RDNBRHlYUzNOM0ROSVowTVFDZG52bUdTWXBjMVY2am81ZldJdnVPa2ZQWEJTZko1d2ErYnFXMTZBdVRyNU80alJ2WEM5UDUrU0kyRXJGOFZsdkVJb0xJdVZpZmczRmhZeGZMblBGSnpwdWczMGJubVI0czV1cnBUdThLZGwyRmVBMXVueEdiWVAxSW9xeEJmUjhOR2FpZVhrWlNQKzROK251cThrVVJNNmRCNWNYWWMyb0FaV1BCN3czYVdUQWV0cXRmTFlFQTVZRTJqcUdraEZwWGQ5SlQvWENmYUJQVndCdjJqK0lYTWpyTEJlcXJTVkYva2x2cmFUNGR5d0lONjZZWkRDaVpYdGFxMFpBSGNjUVd1QmJvaVBiSWN4QmVzMVIzd3NXOWVCTWdrdklWNkpOWHEyWnBUMmV4bVE5UVByNEgydGptaWp0K09vc0xZR0p2dm54MVlISEtHUXhReW0wdDA0eGR6eWtMME5ORzFxSzdaQmNRazBrcHd5SHFGZWNvWStYNzZEWG1KUy9vbEJDaCtsa3ExVS85VkxGS01SRE51bTdVM2VTSHpQRTM0Q1VxTk4wVXVPczZHVEdPR3JSeEJORWwvQmhPcFd0WXlRTWJ4bVNDOUkrN2xteWRIY2VRU2p1NWdIS2Ywa0YxdUdOMUxabks1SG9HaGRtYjdCM2hyQ0VJNWZoQmRwSTlVaWZUMXBMVFVjL3hzL054SDVpa2lYcFd0QkZkTktZSjZTMHZyY2J0ZVRscVEya3Z6a1dQZU1JZnVOTHdGNVc4S3ViZXh3bFVsOVJFWUQxUFEyVmVDZXVVcC84Skd1emdLdnUwYjc1UjE1OWU4RzlqVHlraytBV0ZXQzdLL1hsUnRJTlRIaGM1S2M2WTdVTWlVdWUvRDNNZTVXVDFBU0YydXpzdkZiOGZQQUNXWWF5dEZtM1RZVFQ2VHlCTElTZzU1WEQ1UEtGVE9XMGFETStYODhLYWtsZGNReld0ZjJDR05VbmpwUk1LdzVxbnlnUVRvUEJQa1VLdUVVOEFzYkJlRUxSK2RvRjRJRjJ1OUhzOENDeE85N1VuWm9hUVpWV2o4OEhIRVhrTlJFdlNzdFkyMzZSTU1nTGthMVhIRmYvVWlQdmJtc3NGc2V2aWN6dCt5SE1NWmRUMjZFbUpGWG15VldDVFBpLzRpazBidjBON0ZmRHEvZ3dld2hFZlRYc3Bnc3NWSlU1M0w2M1JiNjBxeGF1aGZLalpXcjhMRXJiMWVUZVNyWVE4QVFJVVQxTXQ1ZFV3OUhudDVDNWQ0eWlPL1VZSldnK0xTRmk4RnBIdDNzN3FkNUR5d09nYXhpRmd1ZUJVbElwSDJzdGh2eis2dTVic2NxZWlPSURBU093PT0ifQ%3D%3D&from_sustainable_property_sr=1&from=searchresults&map=1,Pristina,"9,9 km du centre","9,5",Exceptionnel ,2 lits simples,Plus que 5 hébergements à ce prix sur notre site,374 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",2 lits simples,€ 149
Chambre Double Économique,https://cf.bstatic.com/xdata/images/hotel/square600/431613444.webp?k=6a8fc033b7bc2189b655cb52991d21abf56aae874dcc07da683ce74b9887ebc9&o=,Hotel United,https://www.booking.com/hotel/xk/united-pristina2.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=966147601_369260781_2_0_0&highlighted_blocks=966147601_369260781_2_0_0&matching_block_id=966147601_369260781_2_0_0&sr_pri_blocks=966147601_369260781_2_0_0__2500&from=searchresults&map=1,Pristina,"3,4 km du centre","7,1",Bien  ,1 grand lit double,,45 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 25
Chambre Double,https://cf.bstatic.com/xdata/images/hotel/square600/449028482.webp?k=db4e717eaa2ca3bff70fb9823cd2cae05abe9ad2509fe47b62dc2c5af63fa6f3&o=,SOHO Pristina Kosovo,https://www.booking.com/hotel/xk/soho-pristina-kosovo-pristina6.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=991213307_372089923_1_42_0&highlighted_blocks=991213307_372089923_1_42_0&matching_block_id=991213307_372089923_1_42_0&sr_pri_blocks=991213307_372089923_1_42_0__2063&from=searchresults&map=1,Pristina,1 km du centre,"9,0",Fabuleux  ,1 grand lit double,Plus que 3 hébergements à ce prix sur notre site,227 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 21
Chambre Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/328451606.webp?k=943ee0a050074aa12c1a5897a46afb91725ae8518a68763716cc2aba3f793310&o=,Garden Downtown Prishtina,https://www.booking.com/hotel/xk/garden-downtown-prishtina-prishtina.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=792322901_339014992_1_1_0&highlighted_blocks=792322901_339014992_1_1_0&matching_block_id=792322901_339014992_1_1_0&sr_pri_blocks=792322901_339014992_1_1_0__4950&from=searchresults&map=1,Pristina,350 m du centre,"9,2",Fabuleux  ,1 très grand lit double,,648 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 très grand lit double,€ 50
Chambre Double Supérieure,https://cf.bstatic.com/xdata/images/hotel/square600/490493044.webp?k=8bed4ed70ea79563f96172620190d81508f7b7f647ca236d30cf5f062b4f3393&o=,Derand Hotel,https://www.booking.com/hotel/xk/derand.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=1064616201_382526516_2_1_0&highlighted_blocks=1064616201_382526516_2_1_0&matching_block_id=1064616201_382526516_2_1_0&sr_pri_blocks=1064616201_382526516_2_1_0__10454&from=searchresults&map=1,Pristina,"1,4 km du centre","9,2",Fabuleux  ,1 grand lit double,,98 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 116€ 105-10 %
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/122860860.webp?k=b9d3aec66e33cd628b87af27684656a872952dfcfe0cca9a7e5cb59241a8ade9&o=,Hotel Nartel,https://www.booking.com/hotel/xk/nartel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=31058201_175122746_0_41_0&highlighted_blocks=31058201_175122746_0_41_0&matching_block_id=31058201_175122746_0_41_0&sr_pri_blocks=31058201_175122746_0_41_0__7200&from_sustainable_property_sr=1&from=searchresults&map=1,Pristina,2 km du centre,"8,5",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,169 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 72
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/396603859.webp?k=6ac54db246dc2ff228f479f1de5c16cd1ead32177519dd3cb3fb3693591c1bbd&o=,Hotel Callisto,https://www.booking.com/hotel/xk/callisto.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=906647201_361744829_1_1_0&highlighted_blocks=906647201_361744829_1_1_0&matching_block_id=906647201_361744829_1_1_0&sr_pri_blocks=906647201_361744829_1_1_0__4500&from=searchresults&map=1,Pristina,"1,1 km du centre","9,4",Fabuleux  ,1 lit simple,Plus que 2 hébergements à ce prix sur notre site,193 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 60€ 45-25 %
Chambre Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/187045214.webp?k=6e43a4cbf0bc9fd4f4ad6a1d292abf4da1d2281d333561290d3f5d4f5362b530&o=,City Inn,https://www.booking.com/hotel/xk/city-inn.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=377534103_212453313_1_1_0&highlighted_blocks=377534103_212453313_1_1_0&matching_block_id=377534103_212453313_1_1_0&sr_pri_blocks=377534103_212453313_1_1_0__10000&from_sustainable_property_sr=1&from=searchresults&map=1,Pristina,150 m du centre,"9,1",Fabuleux  ,Plusieurs types de lits,Plus que 2 hébergements à ce prix sur notre site,328 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",Plusieurs types de lits,€ 100
Appartement Deluxe,https://cf.bstatic.com/xdata/images/hotel/square600/344067690.webp?k=c6a5fffaef5ad32ca09e61e0318e21a5c021bc9b22d9306b9a88de4a495f0749&o=,Pristina Select Apartments,https://www.booking.com/hotel/xk/pristina-select-apartments.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=762216902_382650986_3_0_0&highlighted_blocks=762216902_382650986_3_0_0&matching_block_id=762216902_382650986_3_0_0&sr_pri_blocks=762216902_382650986_3_0_0__5015&from_sustainable_property_sr=1&from=searchresults&map=1,Pristina,450 m du centre,"9,0",Fabuleux  ,"3 lits (1 lit simple, 1 lit double, 1 canapé-lit)",Plus que 3 à ce prix sur notre site,297 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","3 lits (1 lit simple, 1 lit double, 1 canapé-lit)",€ 59€ 50-15 %
Appartement 1 Chambre,https://cf.bstatic.com/xdata/images/hotel/square600/414550030.webp?k=8666732af83790c5da6fc36205173bc5bda7cda181bab9da691f98ed846227ed&o=,Lux Apartments,https://www.booking.com/hotel/xk/pristina-luxor-apartment-pristina.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=522060505_182735464_1_0_0&highlighted_blocks=522060505_182735464_1_0_0&matching_block_id=522060505_182735464_1_0_0&sr_pri_blocks=522060505_182735464_1_0_0__5890&from=searchresults&map=1,Pristina,"0,6 km du centre","9,2",Fabuleux  ,1 lit double,Plus que 1 à ce prix sur notre site,736 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 59
Chambre Double Économique,https://cf.bstatic.com/xdata/images/hotel/square600/501832171.webp?k=fac87f0ab05e1f2d2ccb89e36b174b869bb0e22d9a34ef845590a05508143ea3&o=,Hotel Opera,https://www.booking.com/hotel/xk/opera.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=729428703_327300620_1_1_0&highlighted_blocks=729428703_327300620_1_1_0&matching_block_id=729428703_327300620_1_1_0&sr_pri_blocks=729428703_327300620_1_1_0__7900&from_sustainable_property_sr=1&from=searchresults&map=1,Pristina,150 m du centre,"9,0",Fabuleux  ,1 lit double,,529 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit double,€ 79
Studio,https://cf.bstatic.com/xdata/images/hotel/square600/124671351.webp?k=449981df164e91a363dac8040b0a51f03bac346a0437c6e9658b09608a1cc196&o=,Super Central & Panoramic - Leo's Apartment,https://www.booking.com/hotel/xk/super-central-amp-panoramic-leo-39-s-apartment.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=298508701_194887393_2_0_0&highlighted_blocks=298508701_194887393_2_0_0&matching_block_id=298508701_194887393_2_0_0&sr_pri_blocks=298508701_194887393_2_0_0__3500&from=searchresults&map=1,Pristina,450 m du centre,"8,9",Superbe ,Hébergement géré par un particulier,,98 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte","2 lits (1 canapé-lit, 1 grand lit double)",€ 35
Chambre Simple,https://cf.bstatic.com/xdata/images/hotel/square600/303208205.webp?k=53e91f1b0c24c660d6bac42e7b88bd94853e802b4469ad31bfb38255b3217059&o=,HOTEL CITY,https://www.booking.com/hotel/xk/city-prishtine.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=740774101_370537969_1_1_0&highlighted_blocks=740774101_370537969_1_1_0&matching_block_id=740774101_370537969_1_1_0&sr_pri_blocks=740774101_370537969_1_1_0__5000&from=searchresults&map=1,Pristina,450 m du centre,"8,1",Très bien ,1 lit simple,Plus que 3 hébergements à ce prix sur notre site,487 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 lit simple,€ 50
Chambre Lits Jumeaux avec Balcon,https://cf.bstatic.com/xdata/images/hotel/square600/443883814.webp?k=0cae10bb5d0127fb1ab9f4b3d9249a03a6ad130b3d0720ddaea627cc196fcd28&o=,Prishtina Center Hostel,https://www.booking.com/hotel/xk/prishtina-center-hostel.fr.html?label=gog235jc-1DCAMoyAE4wwJIDVgDaE2IAQGYAQ24ARfIAQzYAQPoAQH4AQKIAgGoAgO4AoDcjaoGwAIB0gIkNjQwODM3N2YtMzg5NC00ODYyLTg4ZDQtNWQxMmQyOTg2MWM02AIE4AIB&sid=c694f4a42cec3bb04547d189ffe881c8&aid=356980&ucfs=1&arphpl=1&checkin=2023-11-03&checkout=2023-11-04&dest_id=-93264&dest_type=city&group_adults=1&req_adults=1&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=c9c250b221ec017f&srepoch=1698924522&all_sr_blocks=195526057_355775472_2_0_0&highlighted_blocks=195526057_355775472_2_0_0&matching_block_id=195526057_355775472_2_0_0&sr_pri_blocks=195526057_355775472_2_0_0__2090&from=searchresults&map=1,Pristina,100 m du centre,"8,6",Superbe ,1 grand lit double,Plus que 1 hébergement à ce prix sur notre site,697 expériences vécues,Taxes et frais compris,"1 nuit, 1 adulte",1 grand lit double,€ 27€ 21-22 %
